Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,NOAA,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
1,ISS,145.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,CU 2M,146.760000,-,0.600000,TSQL,162.2,162.2,023,NN,FM,5.00,,,,,,
3,CU 70CM,444.100000,-,5.000000,TSQL,162.2,162.2,023,NN,FM,5.00,,,,,,
4,PROVENA,461.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,CLMAINT,463.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,CLSHTTL,464.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,CWEATHR,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,PMAINT,453.575000,,0.000000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,,,,
9,CUROADS,159.015000,,0.000000,TSQL,151.4,151.4,023,NN,FM,5.00,,,,,,
10,SAVOY,151.010000,,0.000000,DTCS,88.5,88.5,205,NN,FM,5.00,,,,,,
11,CUMTD,453.775000,,0.000000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
12,CFIRE,154.250000,,0.000000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
13,PARKING,453.750000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
14,BECKMAN,461.812500,,0.000000,DTCS,88.5,88.5,145,NN,FM,5.00,S,,,,,
15,GM-FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
16,GM-FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
17,GM-FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
18,GM-FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
19,GM-FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
20,GM-FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
21,GM-FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
22,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
23,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
24,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
25,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
26,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
27,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
28,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
29,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
30,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
31,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
32,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
33,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
34,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
35,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
36,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
37,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
38,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
39,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
